date;India;China;Japan;Pakistan;Nepal
2020-01-22;0;548;2;0;0
2020-01-23;0;643;2;0;0
2020-01-24;0;920;2;0;0
2020-01-25;0;1406;2;0;1
2020-01-26;0;2075;4;0;1
2020-01-27;0;2877;4;0;1
2020-01-28;0;5509;7;0;1
2020-01-29;0;6087;7;0;1
2020-01-30;1;8141;11;0;1
2020-01-31;1;9802;15;0;1
2020-02-01;1;11891;20;0;1
2020-02-02;2;16630;20;0;1
2020-02-03;3;19716;20;0;1
2020-02-04;3;23707;22;0;1
2020-02-05;3;27440;23;0;1
2020-02-06;3;30587;23;0;1
2020-02-07;3;34110;23;0;1
2020-02-08;3;36814;24;0;1
2020-02-09;3;39829;24;0;1
2020-02-10;3;42354;26;0;1
2020-02-11;3;44386;27;0;1
2020-02-12;3;44759;28;0;1
2020-02-13;3;59895;33;0;1
2020-02-14;3;66358;43;0;1
2020-02-15;3;68413;54;0;1
2020-02-16;3;70513;60;0;1
2020-02-17;3;72434;67;0;1
2020-02-18;3;74211;79;0;1
2020-02-19;3;74619;85;0;1
2020-02-20;3;75077;95;0;1
2020-02-21;3;75550;112;0;1
2020-02-22;3;77001;137;0;1
2020-02-23;3;77022;149;0;1
2020-02-24;3;77241;160;0;1
2020-02-25;3;77754;173;2;1
2020-02-26;3;78166;192;2;1
2020-02-27;3;78600;218;2;1
2020-02-28;3;78928;236;4;1
2020-02-29;3;79356;245;4;1
2020-03-01;3;79932;259;4;1
2020-03-02;5;80136;278;5;1
2020-03-03;5;80261;298;5;1
2020-03-04;28;80386;333;5;1
2020-03-05;30;80537;365;6;1
2020-03-06;31;80690;420;6;1
2020-03-07;34;80770;466;6;1
2020-03-08;39;80823;499;6;1
2020-03-09;43;80860;527;16;1
2020-03-10;56;80887;585;19;1
2020-03-11;62;80921;640;20;1
2020-03-12;73;80932;696;28;1
2020-03-13;82;80945;733;31;1
2020-03-14;102;80977;795;53;1
2020-03-15;113;81003;826;136;1
2020-03-16;119;81033;843;236;1
2020-03-17;142;81058;893;299;1
2020-03-18;156;81102;928;454;1
2020-03-19;194;81156;968;501;1
2020-03-20;244;81250;1022;730;1
2020-03-21;330;81305;1059;776;1
2020-03-22;396;81435;1104;875;1
2020-03-23;499;81498;1144;972;2
2020-03-24;536;81591;1217;1063;2
2020-03-25;657;81661;1314;1201;3
2020-03-26;727;81782;1416;1373;3
2020-03-27;887;81897;1530;1495;4
2020-03-28;987;81999;1728;1597;5
2020-03-29;1024;82122;1907;1717;5
2020-03-30;1251;82198;2001;1938;5
2020-03-31;1397;82279;2255;2118;5
2020-04-01;1998;82361;2535;2421;5
2020-04-02;2543;82432;2818;2686;6
2020-04-03;2567;82511;3154;2818;6
2020-04-04;3082;82543;3525;3157;9
2020-04-05;3588;82602;3876;3766;9
2020-04-06;4778;82665;4110;4035;9
2020-04-07;5311;82718;4485;4263;9
2020-04-08;5916;82809;5020;4489;9
2020-04-09;6725;82883;5614;4695;9
2020-04-10;7598;82941;6250;5011;9
2020-04-11;8446;83014;6951;5230;9
2020-04-12;9205;83134;7473;5496;12
2020-04-13;10453;83213;7773;5837;14
2020-04-14;11487;83306;8277;6383;16
2020-04-15;12322;83356;8835;6919;16
2020-04-16;13430;83403;9398;7025;16
2020-04-17;14352;83760;9958;7638;30
2020-04-18;15722;83787;10548;8348;31
2020-04-19;17615;83805;10914;8418;31
2020-04-20;18539;83817;11258;9565;31
2020-04-21;20080;83853;11641;10076;43
2020-04-22;21370;83868;12037;11155;45
2020-04-23;23077;83884;12469;11940;48
2020-04-24;24530;83899;12854;12723;49
2020-04-25;26283;83909;13186;13328;49
2020-04-26;27890;83912;13405;13915;52
2020-04-27;29451;83918;13576;14612;52
2020-04-28;31324;83940;13860;15525;54
2020-04-29;33062;83944;14076;16817;57
2020-04-30;34863;83956;14284;18114;57
2020-05-01;37257;83959;14558;19103;59
2020-05-02;39699;83959;14861;20084;59
2020-05-03;42505;83964;15061;20941;75
2020-05-04;46437;83966;15229;22049;75
2020-05-05;49400;83968;15354;24073;82
2020-05-06;52987;83970;15455;24644;99
2020-05-07;56351;83975;15553;26435;101
2020-05-08;59695;83976;15640;28736;102
2020-05-09;62808;83990;15755;30334;110
2020-05-10;67161;84010;15824;32081;110
2020-05-11;70768;84011;15861;34336;134
2020-05-12;74292;84018;15948;35298;217
2020-05-13;78055;84024;15998;35788;250
2020-05-14;81997;84029;16096;38799;249
2020-05-15;85784;84038;16148;38799;267
2020-05-16;90648;84044;16202;40151;291
2020-05-17;95698;84054;16226;42125;295
2020-05-18;100328;84063;16259;43966;375
2020-05-19;106475;84063;16287;45898;402
2020-05-20;112028;84063;16321;48091;427
2020-05-21;118226;84063;16362;50694;457
2020-05-22;124794;84081;16385;52437;516
2020-05-23;131423;84084;16410;54601;584
2020-05-24;138536;84095;16451;56349;603
2020-05-25;144950;84102;16472;57705;682
2020-05-26;150793;84103;16502;59151;772
2020-05-27;158086;84106;16528;61227;886
2020-05-28;165386;84106;16598;64028;1042
2020-05-29;173491;84123;16673;66457;1212
2020-05-30;181827;84128;16716;69496;1401
2020-05-31;190609;84146;16751;72460;1572
2020-06-01;198370;84154;16787;76398;1811
2020-06-02;207191;84161;16837;80463;2099
2020-06-03;216824;84160;16867;85264;2300
2020-06-04;226713;84171;16911;89249;2634
2020-06-05;236184;84177;16958;93983;2912
2020-06-06;246622;84186;17000;98943;3235
2020-06-07;257486;84191;17039;103671;3448
2020-06-08;265928;84195;17060;108317;3762
2020-06-09;276146;84198;17111;113702;4086
2020-06-10;286605;84209;17146;119536;4364
2020-06-11;297535;84216;17187;125933;4614
2020-06-12;308993;84228;17250;125933;5062
2020-06-13;320922;84286;17293;132405;5335
2020-06-14;332424;84335;17369;144478;5760
2020-06-15;343091;84378;17439;148921;6211
2020-06-16;354065;84422;17484;154760;6591
2020-06-17;366946;84458;17530;160118;7177
2020-06-18;380532;84494;17588;165062;7848
2020-06-19;395048;84494;17658;171666;8274
2020-06-20;410451;84553;17725;176617;8605
2020-06-21;425282;84572;17780;181088;9026
2020-06-22;440215;84624;17820;185034;9561
2020-06-23;456183;84653;17879;188926;10099
2020-06-24;473105;84673;17963;192970;10728
2020-06-25;490401;84701;18055;195745;11162
2020-06-26;508953;84725;18162;198883;11755
2020-06-27;528859;84743;18254;202955;12309
2020-06-28;548318;84757;18366;206512;12772
2020-06-29;566840;84780;18476;209337;13248
2020-06-30;585481;84785;18615;213470;13564
2020-07-01;604641;84816;18838;217809;14046
2020-07-02;625544;84830;19055;221896;14519
2020-07-03;648315;84838;19185;221896;15259
2020-07-04;673165;84857;19461;225283;15491
2020-07-05;697413;84871;19668;231818;15784
2020-07-06;719664;84889;19848;234509;15964
2020-07-07;742417;84917;20055;237489;16168
2020-07-08;767296;84950;20261;240848;16423
2020-07-09;793802;84992;20617;243599;16531
2020-07-10;820916;84992;21044;246351;16649
2020-07-11;849522;85071;21430;248872;16719
2020-07-12;878254;85117;21841;251625;16801
2020-07-13;906752;85117;22125;253604;16945
2020-07-14;936181;85226;22437;255769;17061
2020-07-15;968857;85246;23172;257914;17177
2020-07-16;1003832;85327;23510;257914;17344
2020-07-17;1039084;85402;24104;261917;17445
2020-07-18;1077781;85418;24946;263496;17502
2020-07-19;1118206;85503;25446;265083;17658
2020-07-20;1155338;85622;25706;266096;17844
2020-07-21;1193078;85708;26463;267428;17994
2020-07-22;1238798;85906;27136;269191;18094
2020-07-23;1288108;86045;28114;270400;18241
2020-07-24;1337024;86202;28883;271887;18374
2020-07-25;1385635;86381;29684;273113;18483
2020-07-26;1435616;86570;30548;273113;18613
2020-07-27;1480073;86783;31142;274289;18752
2020-07-28;1531669;86990;32116;275225;19063
2020-07-29;1581963;87213;33382;276288;19273
2020-07-30;1634746;87489;35144;277402;19547
2020-07-31;1695988;87655;36234;278305;19771
2020-08-01;1750723;87827;37804;278305;20086
2020-08-02;1803695;87985;39116;279699;20332
2020-08-03;1855745;88099;40099;280461;20750
2020-08-04;1908254;88206;41347;280461;21009
2020-08-05;1964536;88328;42686;281136;21390
2020-08-06;2027074;88460;44167;281863;21750
2020-08-07;2088611;88580;45764;282645;22214
2020-08-08;2153010;88672;47342;283487;22592
2020-08-09;2215074;88793;48782;284121;22972
2020-08-10;2268675;88906;49617;284660;23310
2020-08-11;2329638;88958;50302;285191;23948
2020-08-12;2396637;89045;51288;285921;24432
2020-08-13;2461190;89144;52471;286674;24957
2020-08-14;2525922;89214;53818;287300;25551
2020-08-15;2589952;89279;55051;288047;26019
2020-08-16;2647663;89375;56074;289215;26660
2020-08-17;2702681;89441;56717;289215;27241
2020-08-18;2767253;89494;57636;289832;28257
2020-08-19;2836925;89527;58728;290445;28938
2020-08-20;2905825;89567;59900;290958;29645
2020-08-21;2975701;89616;60949;291588;30483
2020-08-22;3044940;89654;61916;292174;31117
2020-08-23;3106348;89695;62658;293261;31935
2020-08-24;3167323;89718;63158;293261;32678
2020-08-25;3224547;89752;63888;293711;33533
2020-08-26;3310234;89784;64779;294193;34418
2020-08-27;3387500;89814;65653;294638;35529
2020-08-28;3463972;89836;66499;295053;36456
2020-08-29;3542733;89863;67353;295372;37340
2020-08-30;3621245;89895;67958;295636;38561
2020-08-31;3691166;89914;68396;295849;39460
2020-09-01;3769523;89933;69023;296149;40529
2020-09-02;3853406;89953;69619;297014;41649
2020-09-03;3936747;89986;70278;297512;42877
2020-09-04;4023179;90008;70866;298025;44236
2020-09-05;4113811;90025;71467;298025;45277
2020-09-06;4204613;90058;71918;298903;46257
2020-09-07;4280422;90078;72213;299233;47236
2020-09-08;4370128;90087;72724;299659;48138
2020-09-09;4465863;90100;73264;300030;49219
2020-09-10;4562414;90127;73916;300371;50465
2020-09-11;4659984;90145;74558;300955;51919
