doubling every two days;doubling every 4 days;doubling every 10 days;India;China;Japan;Pakistan;Nepal;date
100.0;100.0;100.0;102.0;548.0;112.0;136.0;101.0;0
141.4213562373095;118.9207115002721;107.17734625362931;113.0;643.0;137.0;236.0;102.0;1
200.0;141.4213562373095;114.86983549970351;119.0;920.0;149.0;299.0;110.0;2
282.842712474619;168.1792830507429;123.11444133449163;142.0;1406.0;160.0;454.0;110.0;3
400.0;200.0;131.9507910772894;156.0;2075.0;173.0;501.0;134.0;4
565.685424949238;237.8414230005442;141.4213562373095;194.0;2877.0;192.0;730.0;217.0;5
800.0;282.842712474619;151.5716566510398;244.0;5509.0;218.0;776.0;250.0;6
1131.370849898476;336.3585661014858;162.4504792712471;330.0;6087.0;236.0;875.0;249.0;7
1600.0;400.0;174.11011265922482;396.0;8141.0;245.0;972.0;267.0;8
2262.741699796952;475.6828460010884;186.60659830736148;499.0;9802.0;259.0;1063.0;291.0;9
3200.0;565.685424949238;200.0;536.0;11891.0;278.0;1201.0;295.0;10
4525.483399593904;672.7171322029716;214.35469250725862;657.0;16630.0;298.0;1373.0;375.0;11
6400.0;800.0;229.73967099940697;727.0;19716.0;333.0;1495.0;402.0;12
9050.966799187809;951.3656920021768;246.22888266898326;887.0;23707.0;365.0;1597.0;427.0;13
12800.0;1131.370849898476;263.9015821545788;987.0;27440.0;420.0;1717.0;457.0;14
18101.933598375617;1345.4342644059432;282.842712474619;1024.0;30587.0;466.0;1938.0;516.0;15
25600.0;1600.0;303.14331330207966;1251.0;34110.0;499.0;2118.0;584.0;16
36203.867196751235;1902.7313840043537;324.9009585424942;1397.0;36814.0;527.0;2421.0;603.0;17
51200.0;2262.741699796952;348.22022531844965;1998.0;39829.0;585.0;2686.0;682.0;18
72407.73439350247;2690.8685288118863;373.21319661472296;2543.0;42354.0;640.0;2818.0;772.0;19
;;;2567.0;44386.0;696.0;3157.0;886.0;20
;;;3082.0;44759.0;733.0;3766.0;1042.0;21
;;;3588.0;59895.0;795.0;4035.0;1212.0;22
;;;4778.0;66358.0;826.0;4263.0;1401.0;23
;;;5311.0;68413.0;843.0;4489.0;1572.0;24
;;;5916.0;70513.0;893.0;4695.0;1811.0;25
;;;6725.0;72434.0;928.0;5011.0;2099.0;26
;;;7598.0;74211.0;968.0;5230.0;2300.0;27
;;;8446.0;74619.0;1022.0;5496.0;2634.0;28
;;;9205.0;75077.0;1059.0;5837.0;2912.0;29
;;;10453.0;75550.0;1104.0;6383.0;3235.0;30
;;;11487.0;77001.0;1144.0;6919.0;3448.0;31
;;;12322.0;77022.0;1217.0;7025.0;3762.0;32
;;;13430.0;77241.0;1314.0;7638.0;4086.0;33
;;;14352.0;77754.0;1416.0;8348.0;4364.0;34
;;;15722.0;78166.0;1530.0;8418.0;4614.0;35
;;;17615.0;78600.0;1728.0;9565.0;5062.0;36
;;;18539.0;78928.0;1907.0;10076.0;5335.0;37
;;;20080.0;79356.0;2001.0;11155.0;5760.0;38
;;;21370.0;79932.0;2255.0;11940.0;6211.0;39
;;;23077.0;80136.0;2535.0;12723.0;6591.0;40
;;;24530.0;80261.0;2818.0;13328.0;7177.0;41
;;;26283.0;80386.0;3154.0;13915.0;7848.0;42
;;;27890.0;80537.0;3525.0;14612.0;8274.0;43
;;;29451.0;80690.0;3876.0;15525.0;8605.0;44
;;;31324.0;80770.0;4110.0;16817.0;9026.0;45
;;;33062.0;80823.0;4485.0;18114.0;9561.0;46
;;;34863.0;80860.0;5020.0;19103.0;10099.0;47
;;;37257.0;80887.0;5614.0;20084.0;10728.0;48
;;;39699.0;80921.0;6250.0;20941.0;11162.0;49
;;;42505.0;80932.0;6951.0;22049.0;11755.0;50
;;;46437.0;80945.0;7473.0;24073.0;12309.0;51
;;;49400.0;80977.0;7773.0;24644.0;12772.0;52
;;;52987.0;81003.0;8277.0;26435.0;13248.0;53
;;;56351.0;81033.0;8835.0;28736.0;13564.0;54
;;;59695.0;81058.0;9398.0;30334.0;14046.0;55
;;;62808.0;81102.0;9958.0;32081.0;14519.0;56
;;;67161.0;81156.0;10548.0;34336.0;15259.0;57
;;;70768.0;81250.0;10914.0;35298.0;15491.0;58
;;;74292.0;81305.0;11258.0;35788.0;15784.0;59
;;;78055.0;81435.0;11641.0;38799.0;15964.0;60
;;;81997.0;81498.0;12037.0;38799.0;16168.0;61
;;;85784.0;81591.0;12469.0;40151.0;16423.0;62
;;;90648.0;81661.0;12854.0;42125.0;16531.0;63
;;;95698.0;81782.0;13186.0;43966.0;16649.0;64
;;;100328.0;81897.0;13405.0;45898.0;16719.0;65
;;;106475.0;81999.0;13576.0;48091.0;;66
;;;112028.0;82122.0;13860.0;50694.0;;67
;;;118226.0;82198.0;14076.0;52437.0;;68
;;;124794.0;82279.0;14284.0;54601.0;;69
;;;131423.0;82361.0;14558.0;56349.0;;70
;;;138536.0;82432.0;14861.0;57705.0;;71
;;;144950.0;82511.0;15061.0;59151.0;;72
;;;150793.0;82543.0;15229.0;61227.0;;73
;;;158086.0;82602.0;15354.0;64028.0;;74
;;;165386.0;82665.0;15455.0;66457.0;;75
;;;173491.0;82718.0;15553.0;69496.0;;76
;;;181827.0;82809.0;15640.0;72460.0;;77
;;;190609.0;82883.0;15755.0;76398.0;;78
;;;198370.0;82941.0;15824.0;80463.0;;79
;;;207191.0;83014.0;15861.0;85264.0;;80
;;;216824.0;83134.0;15948.0;89249.0;;81
;;;226713.0;83213.0;15998.0;93983.0;;82
;;;236184.0;83306.0;16096.0;98943.0;;83
;;;246622.0;83356.0;16148.0;103671.0;;84
;;;257486.0;83403.0;16202.0;108317.0;;85
;;;265928.0;83760.0;16226.0;113702.0;;86
;;;276146.0;83787.0;16259.0;119536.0;;87
;;;286605.0;83805.0;16287.0;125933.0;;88
;;;297535.0;83817.0;16321.0;125933.0;;89
;;;308993.0;83853.0;16362.0;132405.0;;90
;;;320922.0;83868.0;16385.0;144478.0;;91
;;;332424.0;83884.0;16410.0;148921.0;;92
;;;343091.0;83899.0;16451.0;154760.0;;93
;;;354065.0;83909.0;16472.0;160118.0;;94
;;;366946.0;83912.0;16502.0;165062.0;;95
;;;380532.0;83918.0;16528.0;171666.0;;96
;;;395048.0;83940.0;16598.0;176617.0;;97
;;;410451.0;83944.0;16673.0;181088.0;;98
;;;425282.0;83956.0;16716.0;185034.0;;99
;;;440215.0;83959.0;16751.0;188926.0;;100
;;;456183.0;83959.0;16787.0;192970.0;;101
;;;473105.0;83964.0;16837.0;195745.0;;102
;;;490401.0;83966.0;16867.0;198883.0;;103
;;;508953.0;83968.0;16911.0;202955.0;;104
;;;528859.0;83970.0;16958.0;206512.0;;105
;;;548318.0;83975.0;17000.0;209337.0;;106
;;;566840.0;83976.0;17039.0;213470.0;;107
;;;585481.0;83990.0;17060.0;217809.0;;108
;;;604641.0;84010.0;17111.0;221896.0;;109
;;;625544.0;84011.0;17146.0;221896.0;;110
;;;648315.0;84018.0;17187.0;225283.0;;111
;;;673165.0;84024.0;17250.0;231818.0;;112
;;;697413.0;84029.0;17293.0;234509.0;;113
;;;719664.0;84038.0;17369.0;237489.0;;114
;;;742417.0;84044.0;17439.0;240848.0;;115
;;;767296.0;84054.0;17484.0;243599.0;;116
;;;793802.0;84063.0;17530.0;246351.0;;117
;;;820916.0;84063.0;17588.0;248872.0;;118
;;;849522.0;84063.0;17658.0;;;119
;;;;84063.0;17725.0;;;120
;;;;84081.0;17780.0;;;121
;;;;84084.0;17820.0;;;122
;;;;84095.0;17879.0;;;123
;;;;84102.0;17963.0;;;124
;;;;84103.0;18055.0;;;125
;;;;84106.0;18162.0;;;126
;;;;84106.0;18254.0;;;127
;;;;84123.0;18366.0;;;128
;;;;84128.0;18476.0;;;129
;;;;84146.0;18615.0;;;130
;;;;84154.0;18838.0;;;131
;;;;84161.0;19055.0;;;132
;;;;84160.0;19185.0;;;133
;;;;84171.0;19461.0;;;134
;;;;84177.0;19668.0;;;135
;;;;84186.0;19848.0;;;136
;;;;84191.0;20055.0;;;137
;;;;84195.0;20261.0;;;138
;;;;84198.0;20617.0;;;139
;;;;84209.0;21044.0;;;140
;;;;84216.0;21430.0;;;141
;;;;84228.0;;;;142
;;;;84286.0;;;;143
;;;;84335.0;;;;144
;;;;84378.0;;;;145
;;;;84422.0;;;;146
;;;;84458.0;;;;147
;;;;84494.0;;;;148
;;;;84494.0;;;;149
;;;;84553.0;;;;150
;;;;84572.0;;;;151
;;;;84624.0;;;;152
;;;;84653.0;;;;153
;;;;84673.0;;;;154
;;;;84701.0;;;;155
;;;;84725.0;;;;156
;;;;84743.0;;;;157
;;;;84757.0;;;;158
;;;;84780.0;;;;159
;;;;84785.0;;;;160
;;;;84816.0;;;;161
;;;;84830.0;;;;162
;;;;84838.0;;;;163
;;;;84857.0;;;;164
;;;;84871.0;;;;165
;;;;84889.0;;;;166
;;;;84917.0;;;;167
;;;;84950.0;;;;168
;;;;84992.0;;;;169
;;;;84992.0;;;;170
;;;;85071.0;;;;171
